X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
0.3478631455,-0.02591564082,-0.1919482485,-0.1027919707,-0.4577638475,0.7546856515,-0.1357033463,-1.07388921,-0.006235590025,-0.008437827955,-0.4136179645,-0.1583793392,-0.4532358259,-1.048182971,-0.1851729516,-0.1644857058,-1.011316155,0.3596829404,0.454983593,0.6486128157
0.3896391708,-0.09237560156,-0.2947118703,-0.5092413874,-0.06970945795,0.6769354113,0.8654516091,-0.6477979803,0.2202871334,-0.1100178052,0.5829986989,0.2800640862,0.4806548122,0.2047714646,-0.3023863748,-0.09725783459,-0.6271597441,0.3546203137,0.4655451565,0.86196448
-0.05536122444,0.1411882791,-0.1264986839,0.3500615506,-0.6312652965,-0.206232636,0.07407409064,-0.2450823432,-0.2238545673,0.05822802696,-0.3415766498,0.4379979401,-0.6669878543,-0.555649039,0.1940723471,0.3556931178,-0.05884303708,0.8673687323,0.4522314272,0.3453837705
-0.2084494292,0.2711848544,-0.207934626,0.06487643578,-0.4036387184,0.01057476816,-0.08845013143,-0.7566298348,0.3172507988,-0.02340628124,-0.378327756,-0.3549123141,0.8428760378,-0.1446418487,-0.8676628848,-0.7021888236,-0.2390315268,0.5488744152,-0.4504257654,-0.5005065225
-0.2074115081,-0.5042904191,-0.1595252808,1.356758503,-0.09183311273,-0.148377364,0.9400431928,-0.2699567643,-0.7769637468,-0.263876323,0.6445008389,-0.2671864128,-1.01099133,1.347769527,0.02228875871,0.5339360937,-2.029198463,0.1318120184,1.126374495,1.022463237
-0.2345343773,0.5547884658,-0.003076056619,-0.1337429109,-0.2127036533,-0.0005540282252,-1.051678993,0.5963622204,-0.1325977368,-0.07248326208,-0.6797192712,-0.7490621227,-0.4114928546,-0.4582571586,0.05096924204,0.04194621746,-0.09522721482,-0.9528927507,0.0145204738,-0.06320838523
0.09869367776,0.06466996469,-0.2220546533,0.1557129579,0.0827422765,0.6435067807,-0.2127808134,-0.006633646749,0.2436833396,0.2301064471,-0.1618496204,0.1911023983,-0.1652443418,-0.329771647,0.1765101309,-0.8293702827,-0.6100214166,0.4264866555,-0.02561609858,0.1195306798
0.06639450655,-0.4523714709,-0.5521707536,-0.1184847915,-0.1013018252,-0.3567775281,0.1176419779,-0.8127851617,0.6017265899,0.221804591,0.02383141927,-0.1602640114,0.5834675938,0.04460261574,-0.328418758,-1.078212952,-0.3867013552,-0.5373894607,-0.4684415461,-0.3681864784
0.4357314602,0.2161674782,0.3744599423,-0.9281740333,0.1081087527,0.2532115342,0.1191493649,-0.1238016917,0.1575477785,0.2531139155,0.4464623767,0.0874260202,-0.3825379293,0.4640219843,0.1120843588,-0.04990701587,-0.02511861979,0.1354537846,-0.5459272267,-0.1844261857
-0.1544319082,-0.502975254,-0.1274284135,1.021515647,-0.4276073599,-0.6380302902,0.200770413,-0.7845811135,-0.6309372336,-0.6337961591,0.4657787274,-0.8331039039,-1.254003347,1.304806065,-1.443175232,0.638810841,-1.422822717,-0.7169846812,1.057399078,-0.2617899707
-0.09612584742,0.05942265528,0.4329648787,0.2043646371,0.05995411547,-0.239335622,0.269796358,0.2638181841,0.2203138768,0.1067842087,0.7698762265,-1.025688512,0.2934191607,0.5748589081,1.046070639,-0.3761021453,-0.9097083095,-0.4735857909,0.3803930464,-0.8946426292
0.2918642798,-0.1043600667,-0.4107310911,-0.252468504,0.3041583132,-0.5108354388,-0.3923469461,-0.2691884822,0.1487066969,0.4582112771,-0.4574205448,0.3959876007,-0.3131065585,-0.845337488,0.2590981672,-0.2983112279,-0.517926011,-0.07877735577,0.7431608906,1.511931482
-0.2718906769,0.2207122368,-0.5620819638,-0.05267960654,-0.3007398641,-0.4882258954,-0.5160317955,-0.6215597958,-0.4244096472,0.06655427648,-0.7752587377,0.3492486159,-0.743409466,-1.741585745,-0.32982276,0.3684354085,-3.470687638,0.1387066457,0.7305807011,1.381389154
0.4512037305,-0.3800775454,0.2362034769,0.3807606319,0.4720482981,1.018897983,0.2452050467,0.6586187955,-0.3981228122,0.1577544642,0.289864449,1.321151256,-0.7771401863,0.003805953714,1.010706437,-0.3599782181,1.117332961,0.7064425435,-0.8949047617,0.4478692353
0.002999479204,0.2282140378,0.07213330659,-0.04229349465,0.3218631465,0.1477756602,0.6277632297,0.1064076839,0.04951592634,0.3073032678,0.2741174915,-0.7001113405,0.02648373373,-0.3883010975,0.3651307306,-0.1342557576,-0.03875124579,-0.9725989802,0.2367897072,-0.3719037302
-1.062402467,0.3691708981,0.1042412749,0.4575996642,0.597093307,-1.098920206,-0.2050882678,-0.01847048247,-0.5794949277,0.4582400235,0.2291138148,0.5583216325,-2.083187919,0.3435820624,0.3578308572,0.6586319999,1.090996835,-0.02052400281,-0.07800011109,0.704569021
